Battery_V,Load_W,Optimal_Speed_RPM,Optimal_Pressure_N,Max_Efficiency_%
12,10,89,111.916,99.6733100974612
12,30,137,111.916,95.8383290883367
12,50,189,41.356,99.8439527487862
12,70,74,94.178,99.9316226981423
24,10,137,74.774,99.0844847683512
24,30,171,79.968,99.3311260965834
24,50,128,93.492,98.8521473174425
24,70,119,128.184,98.2749710039037
36,10,119,129.458,99.8727955227682
36,30,188,104.076,99.7134319092488
36,50,94,126.812,99.6533459486752
36,70,112,123.382,97.9367627115295
48,10,180,88.886,99.8696268431315
48,30,196,90.454,99.5995114329753
48,50,190,97.706,98.9767330718813
48,70,175,107.702,96.8317177175686
